Uad Code;Cycle;Prg Code;Nom;Ses Code;Trimestre;Total
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20073;automne 2007;8
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20081;hiver 2008;32
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20082;été 2008;15
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20083;automne 2008;58
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20091;hiver 2009;43
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20092;été 2009;41
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20093;automne 2009;40
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20101;hiver 2010;30
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20102;été 2010;25
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20103;automne 2010;37
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20111;hiver 2011;22
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20112;été 2011;14
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20113;automne 2011;33
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20121;hiver 2012;32
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20122;été 2012;16
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20123;automne 2012;23
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20131;hiver 2013;20
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20132;été 2013;19
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20133;automne 2013;25
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20141;hiver 2014;31
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20142;été 2014;11
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20143;automne 2014;28
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20151;hiver 2015;31
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20152;été 2015;25
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20153;automne 2015;36
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20161;hiver 2016;21
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20162;été 2016;13
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20163;automne 2016;20
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20171;hiver 2017;31
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20172;été 2017;18
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20173;automne 2017;19
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20181;hiver 2018;26
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20182;été 2018;15
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20183;automne 2018;15
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20191;hiver 2019;27
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20192;été 2019;4
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20193;automne 2019;23
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20201;hiver 2020;29
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20202;été 2020;25
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20203;automne 2020;34
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20211;hiver 2021;33
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20212;été 2021;20
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20213;automne 2021;32
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20221;hiver 2022;34
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20222;été 2022;18
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20223;automne 2022;31
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20231;hiver 2023;26
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20232;été 2023;19
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20233;automne 2023;34
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20241;hiver 2024;37
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20242;été 2024;36
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20243;automne 2024;46
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20251;hiver 2025;34
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20252;été 2025;26
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20253;automne 2025;53
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20261;hiver 2026;44
ESA;1;0006;Programme court de 1er cycle en comptabilité et finance;20262;été 2026;11
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19781;hiver 1978;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19791;hiver 1979;2
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19793;automne 1979;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19802;été 1980;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19803;automne 1980;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19811;hiver 1981;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19812;été 1981;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19823;automne 1982;1
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19831;hiver 1983;2
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19833;automne 1983;3
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19841;hiver 1984;7
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19842;été 1984;12
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19843;automne 1984;55
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19851;hiver 1985;66
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19852;été 1985;8
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19853;automne 1985;9
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19861;hiver 1986;8
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19862;été 1986;4
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19863;automne 1986;10
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19871;hiver 1987;6
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19872;été 1987;2
SHLC;1;0017;Programme court sur les droits et libertés de la personne;19873;automne 1987;1
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19821;hiver 1982;18
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19823;automne 1982;1
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19831;hiver 1983;1
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19833;automne 1983;84
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19841;hiver 1984;74
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19842;été 1984;16
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19843;automne 1984;115
ST;1;0018;Programme court sur l'usage des pesticides et leurs effets sur l'environnement;19851;hiver 1985;131
